,sno,DATE,HEADLINE,TICKER,COMPANY NAME,SECTOR,SUBSECTOR,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
0,3,2022-02-15,"Religare Ent Says
▶️Religare Finvest victim of fraud perpetuated by erstwhile mgmt
▶️Have challenged process of RFL being classified as ‘fraud’ account 
▶️RBI on Feb 11 said RFL restructuring can’t be implemented with REL being a promoter as lenders declared RFL a fraud exposure",RELIGARE,Religare Enterprises Limited,Finance - Investments,Finance - Investments,EQ,21-NOV-2007,10,1,INE621H01010,10
1,4,2022-02-15,Ashok Leyland targets 40% ICV sales from CNG variants,ASHOKLEY,Ashok Leyland Limited,Auto - LCVs & HCVs,Auto - LCVs & HCVs,EQ,25-MAY-1995,1,1,INE208A01029,1
2,6,2022-02-15,Cipla promoters plan to sell 2.5% of stock,CIPLA,Cipla Limited,Pharmaceuticals,Pharmaceuticals,EQ,08-FEB-1995,2,1,INE059A01026,2
3,7,2022-02-15,"2.05 cr shares of Cipla worth ₹1,880 cr trade on NSE at average ₹915/sh

Alert: Promoters likely to have sold a stake in Cipla via block deal",CIPLA,Cipla Limited,Pharmaceuticals,Pharmaceuticals,EQ,08-FEB-1995,2,1,INE059A01026,2
4,8,2022-02-15,"NMDC in focus

Iron Ore falls 10% on SGX as China fights to rein in prices",NMDC,NMDC Limited,Mining & Minerals,Mining & Minerals,EQ,03-MAR-2008,1,1,INE584A01023,1
5,10,2022-02-15,| Manappuram under pressure after a weak set of earnings in Q3,MANAPPURAM,Manappuram Finance Limited,Finance,Finance,EQ,01-DEC-2014,2,1,INE522D01027,2
6,11,2022-02-15,lnduslnd Bank has been empanelled by the Small Farmers Agri- Business Consortium (SFAC) to facilitate digital collection and settlement services on National Agriculture Market (e-NAM) portal for the transactions between farmers and traders across the country,BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-FEB-1997,2,1,INE028A01039,2
7,12,2022-02-15,"Cipla promoters on today's stake sale

Dr Y K Hamied, Chairman and Mr MK Hamied, Vice Chairman who are Non-Executive Directors and promoters, have sold 2,01,69,756 shares (representing 2.5% of the total issued and paid-up share capital of the Company) today.


Post this transaction, the promoter group will continue to hold 34.23% in the company. The group remains fully committed and invested in the future of Cipla Limited.


The senior promoters who are both in their eighties, intend to use the funds generated from this sale for personal purposes including philanthropy. The promoter group does not plan to sell any further shares in the foreseeable future",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
8,13,2022-02-15,ACC expands capacity by 1.6 MTPA at Tikaria grinding unit in Uttar Pradesh,ACC,ACC Limited,Cement - Major,Cement - Major,EQ,20-NOV-1996,10,1,INE012A01025,10
9,17,2022-02-15,DB Corp increases Ad rates by 20% on MY FM across all its key markets,DBSTOCKBRO,DB (International) Stock Brokers Limited,Media & Entertainment,Media & Entertainment,EQ,29-FEB-2012,2,1,INE921B01025,2
