DATE,HEADLINE,TICKER,COMPANY NAME,SECTOR,SUBSECTOR,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,negative_score,positive_score,neutral_score,compound_score,High,Low,Open,close,volume,adj close,avg High,avg low,avg open,avg close,avg volume,avg adj close,trend
15-02-2022,"Religare Ent Says
▶️Religare Finvest victim of fraud perpetuated by erstwhile mgmt
▶️Have challenged process of RFL being classified as ‘fraud’ account 
▶️RBI on Feb 11 said RFL restructuring can’t be implemented with REL being a promoter as lenders declared RFL a fraud exposure",RELIGARE,Religare Enterprises Limited,Finance - Investments,Finance - Investments,EQ,21-Nov-07,10,1,INE621H01010,10,0.226,0,0.774,-0.8779,125,125,120.75,122.0500031,122.0500031,910705,159.1099976,159.7799988,152.8600006,156.1300003,156.1300003,686379.6,bearish
15-02-2022,Ashok Leyland targets 40% ICV sales from CNG variants,ASHOKLEY,Ashok Leyland Limited,Auto - LCVs & HCVs,Auto - LCVs & HCVs,EQ,25-May-95,1,1,INE208A01029,1,0,0,1,0,125,129.25,127.1999969,128.5,127.6020279,15896279,159.3299988,161.7200012,156.1999969,158.6899994,157.5810577,16145476,bearish
15-02-2022,Cipla promoters plan to sell 2.5% of stock,CIPLA,Cipla Limited,Pharmaceuticals,Pharmaceuticals,EQ,08-Feb-95,2,1,INE059A01026,2,0,0,1,0,916.5499878,938.7999878,920.0999756,921.8499756,917.3931274,8304774,1135.429993,1155.719995,1129.699988,1145.319995,1139.782751,3662772.4,bullish
15-02-2022,"2.05 cr shares of Cipla worth ₹1,880 cr trade on NSE at average ₹915/sh

Alert: Promoters likely to have sold a stake in Cipla via block deal",CIPLA,Cipla Limited,Pharmaceuticals,Pharmaceuticals,EQ,08-Feb-95,2,1,INE059A01026,2,0.093,0.202,0.705,0.34,916.5499878,938.7999878,920.0999756,921.8499756,917.3931274,8304774,1135.429993,1155.719995,1129.699988,1145.319995,1139.782751,3662772.4,bullish
15-02-2022,"NMDC in focus

Iron Ore falls 10% on SGX as China fights to rein in prices",NMDC,NMDC Limited,Mining & Minerals,Mining & Minerals,EQ,03-Mar-08,1,1,INE584A01023,1,0.153,0,0.847,-0.4019,153.25,153.25,149.0500031,149.3000031,143.6975861,17659797,186.3799988,189.0899994,182.4900055,185.7199982,178.7509369,18851958.2,bullish
15-02-2022,| Manappuram under pressure after a weak set of earnings in Q3,MANAPPURAM,Manappuram Finance Limited,Finance,Finance,EQ,01-Dec-14,2,1,INE522D01027,2,0.389,0,0.611,-0.6249,140,141.6499939,124.6500015,127.5999985,123.2051392,43055953,184.7699982,186.6199982,177.3499969,179.9400009,173.7424255,12990520.8,bearish
15-02-2022,lnduslnd Bank has been empanelled by the Small Farmers Agri- Business Consortium (SFAC) to facilitate digital collection and settlement services on National Agriculture Market (e-NAM) portal for the transactions between farmers and traders across the country,BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-Feb-97,2,1,INE028A01039,2,0,0,1,0,106.5999985,110.5,106.6500015,110.1500015,106.9302292,61851795,135.4399994,137.9700012,132.2800003,135.4599991,131.5003983,72691786,bearish
15-02-2022,"Cipla promoters on today's stake sale

Dr Y K Hamied, Chairman and Mr MK Hamied, Vice Chairman who are Non-Executive Directors and promoters, have sold 2,01,69,756 shares (representing 2.5% of the total issued and paid-up share capital of the Company) today.


Post this transaction, the promoter group will continue to hold 34.23% in the company. The group remains fully committed and invested in the future of Cipla Limited.


The senior promoters who are both in their eighties, intend to use the funds generated from this sale for personal purposes including philanthropy. The promoter group does not plan to sell any further shares in the foreseeable future",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-Nov-95,2,1,INE715B01021,2,0.017,0.082,0.901,0.7264,141,150.3000031,145.1999969,148.6499939,146.6719513,1157800,189.7,194.0700043,181.4200012,187.0899994,184.6004425,1092246.4,bearish
15-02-2022,ACC expands capacity by 1.6 MTPA at Tikaria grinding unit in Uttar Pradesh,ACC,ACC Limited,Cement - Major,Cement - Major,EQ,20-Nov-96,10,1,INE012A01025,10,0,0.104,0.896,0.1027,2156.5,2240,2215.399902,2234.300049,2174.053955,259988,2709.52002,2746.15,2671.77998,2711.230029,2638.123926,550293.2,bullish
15-02-2022,DB Corp increases Ad rates by 20% on MY FM across all its key markets,DBSTOCKBRO,DB (International) Stock Brokers Limited,Media & Entertainment,Media & Entertainment,EQ,29-Feb-12,2,1,INE921B01025,2,0,0,1,0,30.70000076,32.20000076,29.20000076,30.70000076,30.70000076,3846,42.72000046,43.02000046,41.94000015,41.94000015,41.94000015,5804.6,bearish
15-02-2022,"Indian students should consider leaving Ukraine temporarily. Indian nationals asked to avoid non essential travel to & within Ukraine. Citizens should keep embassy informed about status of their presence in UK so that  embassy can reach them, says @IndiainUkraine",IMFA,Indian Metals & Ferro Alloys Limited,Steel - Pig Iron,Steel - Pig Iron,EQ,23-Jul-10,10,1,INE919H01018,10,0.056,0.028,0.916,-0.2732,345,354,350.0499878,350.8500061,327.809967,46243,432.3,438.4600037,421.6399963,429.2100037,401.0241394,61595.8,bullish
15-02-2022,Bajaj Finance's market cap is now higher than that of HDFC,BAJAJ-AUTO,Bajaj Auto Limited,Sugar,Sugar,EQ,26-May-08,10,1,INE917I01010,10,0,0,1,0,3490,3601,3571.100098,3589.199951,3459.275879,357052,4195.290039,4275.7,4177.32998,4247.069971,4093.331885,393882.8,bearish
15-02-2022,"MacLeod Pharma IPO : Macleod Pharma Files IPO papers With Sebi For Rs 4500-5000 Cr , One Of The biggest Ipo in Pharma sector",ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-Nov-95,2,1,INE715B01021,2,0,0,1,0,141,150.3000031,145.1999969,148.6499939,146.6719513,1157800,189.7,194.0700043,181.4200012,187.0899994,184.6004425,1092246.4,bearish
