,Unnamed: 0.1,Unnamed: 0,sno,DATE,HEADLINE,TICKER,COMPANY NAME,SECTOR,SUBSECTOR,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,negative_score,positive_score,neutral_score,compound_score,High,Low,Open,close,volume,adj close,avg High,avg low,avg open,avg close,avg volume,avg adj close,trend
1902,1902,1902,3309,23-06-2022,"Thermax subsidiary First Energy will acquire two companies- Jalansar Wind Energy and Kanakal Wind Energy for Rs 1 lakh each, for its #renewable energy projects",ENERGYDEV,Energy Development Company Limited,Power,Power,EQ,02-Nov-07,10,1,INE306C01019,10,0.0,0.296,0.704,0.7506,15.60000038,15.64999962,14.64999962,15.10000038,15.10000038,55670,19.27000008,19.51000042,18.17000027,18.57000008,18.57000008,112531.8,bearish
443,443,443,874,17-03-2022,Torrent Pharma enters into licensing agreement with Medicine Patent Pool to manufacture & commercialise generic version of #Pfizer Oral COVID-19 Treatment,TORNTPHARM,Torrent Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals,EQ,25-Nov-02,5,1,INE685A01028,5,0.0,0.144,0.856,0.4939,1439.699951,1493.875,1365.800049,1437.300049,1416.654175,865328,1698.3,1730.430005,1680.655005,1701.665015,1677.221729,391710.8,bearish
1084,1084,1084,1897,28-04-2022,"Fineotex Chemical reports Q4 earnings.

▶️Net profit up 47% at Rs 16.52 cr Vs Rs 11.22 cr (YoY)

▶️Revenue up 61.8% at Rs 121.39 cr Vs Rs 75.02 cr (YoY)

▶️EBITDA up 67.5% at Rs 21.51 cr Vs Rs 12.84 cr (YoY)

▶️EBITDA Margin at 17.72% Vs 17.12% (YoY)",FCL,Fineotex Chemical Limited,,,EQ,15-Jan-15,2,1,INE045J01026,2,0.0,0.057,0.943,0.4404,209.8999939,213.8500061,192.8500061,206.8999939,206.5202789,524816,256.9399963,264.9900024,246.7299988,252.8200012,252.3560028,1271654.8,bearish
37,37,37,82,18-02-2022,". @IndiGo6E takes delivery of its first aircraft operating on Sustainable Aviation Fuel from Airbus

First international flight operated by any Indian carrier using SAF, says IndiGo",IMFA,Indian Metals & Ferro Alloys Limited,Steel - Pig Iron,Steel - Pig Iron,EQ,23-Jul-10,10,1,INE919H01018,10,0.0,0.0,1.0,0.0,348.7000122,353.9500122,332.1000061,348.5,325.6142883,42703,424.5,430.7600098,413.9,421.4100037,393.7363586,59315.2,bearish
3563,3563,3563,5952,28-09-2022,"Smallcap World Fund acquires additional 2.63% of Mastek via open market on September 26, holding rises to 7.75",MASTEK,Mastek Limited,Computers - Software,Computers - Software,EQ,10-May-95,5,1,INE759A01021,5,0.0,0.0,1.0,0.0,1719.0,1739.0,1700.0,1711.900024,1697.216064,62260,2116.13999,2139.18999,2085.619995,2097.269995,2079.280469,114248.4,bullish
4246,4246,4246,6925,03-11-2022,"Bank of India reports Q2 earnings. 

▶️Net profit down 8.7% at ₹960 cr vs ₹1,051 cr (YoY)

▶️NII up 44% at ₹5,083 cr vs ₹3,523.3 cr (YoY)",BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-Feb-97,2,1,INE028A01039,2,0.0,0.1,0.9,0.4404,145.8000031,149.8999939,143.6000061,148.1499939,148.1499939,18083411,177.5399994,180.0900024,175.3100006,177.4599976,177.4599976,25575140.6,bearish
4053,4053,4053,6622,20-10-2022,"Tanla Platforms reports Q2 earnings. 

▶️Net profit down 18.9% at Rs 110.4 cr Vs Rs 136.2 cr (YoY)

▶️Revenue up 1.1% at Rs 851 cr Vs Rs 841.6 Cr (YoY)",TANLA,Tanla Platforms Limited,Computers - Software Medium & Small,Computers - Software Medium & Small,EQ,05-Jan-07,1,1,INE483C01032,1,0.0,0.091,0.909,0.4404,793.75,830.0,775.0999756,818.0,818.0,537659,970.4900024,997.5399902,956.9299927,969.6899902,969.6899902,1098137.8,bearish
2988,2988,2988,4991,18-08-2022,Nykd by #Nykaa launches first flagship store in New Delhi,NDTV,New Delhi Television Limited,Entertainment,Entertainment,BE,19-May-04,4,1,INE155G01029,4,0.0,0.135,0.865,0.1027,339.7999878,354.8500061,325.9500122,333.0499878,333.0499878,1934238,370.1599976,386.2200012,359.230011,374.3200012,374.3200012,1430634.6,bullish
3213,3213,3213,5379,06-09-2022,"Syngene Large Trade | 2.3 cr shares (5.7% equity) worth ₹1,273 cr change hands at ₹564/sh",SYNGENE,Syngene International Limited,Miscellaneous,Miscellaneous,EQ,11-Aug-15,10,1,INE398R01022,10,0.0,0.24,0.76,0.4767,562.0,599.2999878,562.7000122,565.25,565.25,7401406,710.7299927,727.5299927,701.9399902,708.5199951,708.5199951,1853266.6,bullish
5470,5470,5470,8623,02-02-2023,"Reliance Retail to start accepting retail payments via Digital Rupee across its stores

#RelianceRetail #DigitalRupee",RCOM,Reliance Communications Limited,Shipping,Shipping,BE,06-Mar-06,5,1,INE330H01018,5,0.0,0.157,0.843,0.3818,1.950000048,2.0,1.799999952,1.899999976,1.899999976,2903371,2.429999971,2.459999943,2.320000005,2.389999986,2.389999986,4104211.6,bullish
4536,4536,4536,7360,17-11-2022,"Tata Motors (@TataMotors)  bags #order for 1,000 buses from Haryana Roadways",TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-Jul-98,2,1,INE155A01022,2,0.0,0.0,1.0,0.0,422.0,427.5499878,421.1499939,423.1499939,423.1499939,15621809,511.6700012,517.6,506.1400085,512.25,512.25,19613629.2,bullish
730,730,730,1332,01-04-2022,"March #AutoSales |  Tata Motors reports total domestic auto sales at 86,718 Units against Nomura’s estimate of 85,300 units",TATAMOTORS,Tata Motors Limited,Auto,Auto,EQ,22-Jul-98,2,1,INE155A01022,2,0.0,0.0,1.0,0.0,434.0,442.25,441.2999878,441.1499939,441.1499939,19380324,522.6900024,526.8700012,516.65,521.8100037,521.8100037,20470181.6,bullish
4942,4942,4942,7920,19-12-2022,IRB Infra board meeting on Jan 4 to consider stock split,IRB,IRB Infrastructure Developers Limited,Construction & Contracting - Real Estate,Construction & Contracting - Real Estate,EQ,25-Feb-08,10,1,INE821I01014,10,0.0,0.0,1.0,0.0,308.0,315.8999939,313.4500122,312.7999878,312.7999878,4496587,363.1600037,379.2399963,358.5700012,370.6200012,370.6200012,12010256.6,bullish
1075,1075,1075,1881,28-04-2022,"Kirloskar Pneu Q4 

▶️Net profit up 8.1% at ₹54.4 cr vs ₹50.3 cr (YoY)

▶️Revenue down 4% at ₹398.4 cr vs ₹415.1 cr (YoY)

▶️EBITDA up 7.5% at ₹77.6 cr vs ₹72.2 cr (YoY)

▶️EBITDA margin at 19.5% vs 17.4% (YoY)",KECL,Kirloskar Electric Company Limited,,,EQ,09-Mar-10,10,1,INE134B01017,10,0.0,0.068,0.932,0.4404,27.25,27.75,25.04999924,25.95000076,25.95000076,310010,33.27000008,33.87000008,32.12000008,32.83000031,32.83000031,399502.8,bearish
